2024-11-20 16:45:01.800 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-20 16:45:13.012 [info] Discovered env: /usr/local/bin/python
2024-11-20 16:45:13.031 [info] Discovered env: /usr/bin/python3
2024-11-20 16:45:13.073 [info] Discovered env: /bin/python3
2024-11-20 16:45:13.692 [info] Locator Conda took 318.664299ms
2024-11-20 16:45:13.697 [info] Locator Homebrew took 207.032507ms
2024-11-20 16:45:13.711 [info] Locator LinuxGlobal took 480.002049ms
2024-11-20 16:45:13.744 [info] Locator PipEnv took 31.213µs
2024-11-20 16:45:13.751 [info] Locator Poetry took 12.071414ms
2024-11-20 16:45:13.765 [info] Locator PyEnv took 40.119096ms
2024-11-20 16:45:13.773 [info] Locator Venv took 65.828µs
2024-11-20 16:45:13.781 [info] Locator VirtualEnv took 691.493µs
2024-11-20 16:45:13.785 [info] Locator VirtualEnvWrapper took 667.082µs
2024-11-20 16:45:13.789 [info] Locator GlobalVirtualEnvs took 67.018092ms
2024-11-20 16:45:13.795 [info] Locator Locators took 485.650742ms
2024-11-20 16:45:13.804 [info] Locator Path took 2.14355457s
2024-11-20 16:45:13.809 [info] Locator Workspaces took 160.904566ms
2024-11-20 16:45:13.814 [info] Refresh completed in 2144ms
