2024-11-20 17:10:21.589 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-20 17:10:41.310 [info] Discovered env: /usr/bin/python3
2024-11-20 17:10:41.313 [info] Discovered env: /bin/python3
2024-11-20 17:10:41.318 [info] Discovered env: /usr/local/bin/python
2024-11-20 17:10:42.061 [info] Locator Conda took 364.019858ms
2024-11-20 17:10:42.064 [info] Locator Homebrew took 377.480199ms
2024-11-20 17:10:42.070 [info] Locator LinuxGlobal took 792.85511ms
2024-11-20 17:10:42.080 [info] Locator PipEnv took 187.516µs
2024-11-20 17:10:42.089 [info] Locator Poetry took 12.175132ms
2024-11-20 17:10:42.100 [info] Locator PyEnv took 99.45603ms
2024-11-20 17:10:42.111 [info] Locator Venv took 50.204µs
2024-11-20 17:10:42.124 [info] Locator VirtualEnv took 102.908µs
2024-11-20 17:10:42.145 [info] Locator VirtualEnvWrapper took 271.323µs
2024-11-20 17:10:42.149 [info] Locator GlobalVirtualEnvs took 43.686404ms
2024-11-20 17:10:42.161 [info] Locator Locators took 797.425197ms
2024-11-20 17:10:42.164 [info] Locator Path took 3.544673647s
2024-11-20 17:10:42.168 [info] Locator Workspaces took 210.129612ms
2024-11-20 17:10:42.177 [info] Refresh completed in 3547ms
