2024-11-21 02:24:10.897 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-21 02:24:14.292 [info] Discovered env: /bin/python3
2024-11-21 02:24:14.294 [info] Discovered env: /usr/local/bin/python
2024-11-21 02:24:14.296 [info] Discovered env: /usr/bin/python3
2024-11-21 02:24:14.325 [info] Locator Conda took 387.608026ms
2024-11-21 02:24:14.329 [info] Locator Homebrew took 346.940486ms
2024-11-21 02:24:14.335 [info] Locator LinuxGlobal took 544.48137ms
2024-11-21 02:24:14.339 [info] Locator PipEnv took 33.603µs
2024-11-21 02:24:14.340 [info] Locator Poetry took 25.790364ms
2024-11-21 02:24:14.341 [info] Locator PyEnv took 57.636267ms
2024-11-21 02:24:14.343 [info] Locator Venv took 61.805µs
2024-11-21 02:24:14.344 [info] Locator VirtualEnv took 46.603µs
2024-11-21 02:24:14.345 [info] Locator VirtualEnvWrapper took 118.109µs
2024-11-21 02:24:14.347 [info] Locator GlobalVirtualEnvs took 3.893582ms
2024-11-21 02:24:14.348 [info] Locator Locators took 558.288268ms
2024-11-21 02:24:14.349 [info] Locator Path took 6.838460792s
2024-11-21 02:24:14.350 [info] Locator Workspaces took 196.648919ms
2024-11-21 02:24:14.353 [info] Refresh completed in 6838ms
