ProductID,ProductName,Description,InterestRate,ProductType
decae0d3-1b84-40d0-9813-7eeffa8bf7e0,bad,Century president pass unit responsibility.,0.43,Loan
ae8d15f0-0ccb-4a08-8ce8-5fc1a68188d5,nature,None energy from road inside.,0.47,Credit Card
545f489a-0fcc-4e8c-98ec-1f6905cf80ab,nation,Field still great mention.,0.14,Loan
6eaf930b-13e5-47ef-bee0-dbd2a03b99b6,play,Say mention cell join little.,0.72,Loan
8edab4d4-9392-40f3-afd5-0983143a195d,six,Work us reveal clearly maybe property.,0.39,Loan
d2806611-0c8f-4b06-ae8a-2b499b6429ce,speak,Bank structure born they simple particular policy.,0.67,Credit Card
62830d0d-df59-45c2-b096-1a8c7377e89d,walk,Poor region party cold always.,0.93,Loan
f1917d3d-ef5b-4cf1-8e6e-2744a92edf4a,student,Collection store recently again stock song.,0.3,Loan
0879edf7-c108-42db-bd74-aa4e40b80ec1,role,Also off say red.,0.91,Line of Credit
5a906c6e-1186-435e-8c89-acb09ebdf213,let,Sort theory trial painting.,0.4,Credit Card
5976cf4f-1d33-4488-96db-38cfde4ce14b,rule,Drug fact usually family five save.,0.69,Line of Credit
d9e6c51d-e927-4464-91ac-ef53ec1e4565,alone,Billion authority rich.,0.42,Credit Card
8bf81419-fab1-486f-8d07-3292e69de5bb,since,Thank care worker push attention.,0.27,Loan
d6690f31-4bd6-4dae-8a82-c874f391e6ac,employee,Question new line product law thank meeting.,0.97,Line of Credit
742ed9ad-8225-4cbd-ac7a-2d3ba1c07608,reveal,Assume Mrs fly and.,0.53,Line of Credit
18a8e552-3e79-4f38-aabc-65f99551d567,financial,Ground hand again collection weight process find attorney.,0.7,Loan
60845dae-b768-4f5e-a877-88ea485323c0,must,Population very we develop film fight.,0.23,Line of Credit
803c1782-6e72-4112-a481-48b8be8a7624,find,Market have no time visit energy long.,0.3,Line of Credit
b7a3255b-4bb1-4b1c-a2c6-ddd6de39c480,similar,Investment each light.,0.27,Credit Card
5ae6c5b0-16c0-4d23-b1f1-d91d69165632,station,True item put commercial actually poor head.,0.4,Line of Credit
d366ab1f-8516-4a33-92f3-943f31579c7f,send,Church other event.,0.87,Loan
0dc27d7d-7b90-4b8a-9728-003355322d19,audience,West type same do.,0.54,Loan
a1d62d0d-51f5-4c89-be79-69f854dd6e22,responsibility,Apply cell value movie fund.,0.35,Credit Card
c1b95d5d-d4c2-4ead-bf4b-6cf45ee7d67d,skill,Garden drug put leave.,0.88,Line of Credit
46985e01-848e-46f4-bab0-93cc7be0ef6a,perhaps,Man coach science watch range.,0.82,Line of Credit
eeb19f39-1bc1-4da6-8b2e-f6c4b2030867,power,Effort great Democrat sort minute nothing while.,0.73,Line of Credit
4a2e4117-b64e-455b-88f1-2f97f3eee8cf,far,Blue explain situation.,0.99,Credit Card
15f79eae-653c-4596-a1d9-9391daed2e8e,seven,Local general although each.,0.14,Loan
1e9afa46-1175-4e98-84e4-d896a467e123,raise,Free land require live.,0.74,Line of Credit
a5c9f35e-2803-4252-91e3-4d8780b3976c,want,Compare since TV wish understand wrong.,0.54,Credit Card
d7177c21-c2c4-43af-a9e6-942c84e2ba57,leader,Project sell fire political character.,0.93,Line of Credit
86b008ab-717e-46c4-94de-d4dfe14962dc,record,Too enjoy imagine hundred me rule writer.,0.25,Line of Credit
452f3f8a-bd4e-4b05-9330-6442d10880bb,leg,Minute statement go myself adult energy.,0.31,Loan
85046dc2-7b33-47fc-8633-7d0a2cf8a4de,case,Standard knowledge weight mention top accept white.,0.18,Credit Card
2b3ce2fb-cc78-4542-9eda-85249f70e339,try,Course tell lot official side case ever our.,0.21,Loan
42fd42ed-cba2-470c-b3dd-b39585af5c3f,public,Short somebody heart manage protect important TV glass.,0.15,Loan
c1ab7166-f847-45e7-998c-f64397c5b3fa,candidate,My at serious show discussion remember walk.,0.27,Credit Card
99a182aa-71b2-4e61-ba4b-c5857da55c50,tell,Allow lawyer recently measure may six line.,0.52,Line of Credit
cadf1848-ae8f-4bf4-b60a-04c222029a25,a,Think school head current music really popular.,0.47,Credit Card
757e9814-9f10-481b-9fc8-d2e3d0dc0c32,case,Full herself believe drop well indeed compare.,0.13,Credit Card
8d350865-145b-4c1b-a03d-8163b2021d55,special,Tree bill rather court either.,0.53,Loan
7bdcd362-431c-42e7-8d15-3f7a51b9e800,leave,Maintain whole tax.,0.68,Loan
9e070841-ca76-4262-8da1-f8e213cda475,prevent,Through final court month.,0.89,Credit Card
3f4272b1-9e4b-4b6b-bc57-ab7bac242d00,into,Office college central.,0.28,Credit Card
1ffdc7e0-83ea-46e5-a0c0-0e027b08343d,little,Over big record author theory friend.,0.18,Line of Credit
802568e4-1fca-45c6-b879-61e60bba0ca3,cold,View because southern.,0.56,Credit Card
b288a18e-3a85-46a0-97c9-a66c298900bb,station,Above low could popular raise enough success.,0.79,Credit Card
b55eeb16-c15c-4cdd-9c71-bb76a323d47f,heavy,As among cause more society.,0.43,Loan
7f2a3f8d-8018-426e-96bb-75852b775006,current,Similar hard during visit recognize wait or.,0.62,Line of Credit
5084c86a-1b9a-4e4b-89ef-b771b41cbe78,compare,Manage film season capital so body against.,0.61,Credit Card
